year_ceremony,Category,name,film
1936,WRITING (Adapted Screenplay),Dudley Nichols,The Informer
1936,SPECIAL AWARD, David Wark Griffith,
1937,PRODUCTION DESIGN,Richard Day,Dodsworth
1937,ASSISTANT DIRECTOR,Jack Sullivan,The Charge of the Light Brigade
1937,CINEMATOGRAPHY,Gaetano Gaudio,Anthony Adverse
1937,DANCE DIRECTION,Seymour Felix,The Great Ziegfeld
1937,DIRECTING,Frank Capra,Mr. Deeds Goes to Town
1937,FILM EDITING,Ralph Dawson,Anthony Adverse
1937,MUSIC (Scoring),"Warner Bros. Studio Music Department, Leo Forbstein, head of department  (Score by Erich Wolfgang Korngold)",Anthony Adverse
1937,MUSIC (Song),Music by Jerome Kern; Lyrics by Dorothy Fields,Swing Time
1937,BEST PICTURE,Metro-Goldwyn-Mayer,The Great Ziegfeld
1937,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Country Cousin
1937,SHORT SUBJECT (Color),Warner Bros.,Give Me Liberty
1937,SHORT SUBJECT (One-reel),"Hal Roach, Producer",Bored of Education
1937,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,The Public Pays
1937,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",San Francisco
1937,WRITING (Original Story),"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur
1937,WRITING (Adapted Screenplay),"Pierre Collings, Sheridan Gibney",The Story of Louis Pasteur
1937,SPECIAL AWARD, The March of Time for its significance to motion pictures and for having revolutionized one of the most important branches of the industry - the newsreel.,
1937,SPECIAL AWARD, W. Howard Greene and Harold Rosson for the color cinematography of the Selznick International Production,
1938,PRODUCTION DESIGN,Stephen Goosson,Lost Horizon
1938,ASSISTANT DIRECTOR,Robert Webb,In Old Chicago
1938,CINEMATOGRAPHY,Karl Freund,The Good Earth
1938,DANCE DIRECTION,Hermes Pan,A Damsel in Distress
1938,DIRECTING,Leo McCarey,The Awful Truth
1938,FILM EDITING,"Gene Havlick, Gene Milford",Lost Horizon
1938,MUSIC (Scoring),"Universal Studio Music Department, Charles Previn, head of department  (no composer credit)",One Hundred Men and a Girl
1938,MUSIC (Song),Music and Lyrics by Harry Owens,Waikiki Wedding
1938,BEST PICTURE,Warner Bros.,The Life of Emile Zola
1938,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Old Mill
1938,SHORT SUBJECT (Color),"Pete Smith, Producer",Penny Wisdom
1938,SHORT SUBJECT (One-reel),Skibo Productions,The Private Life of the Gannets
1938,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,Torture Money
1938,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Hurricane
1938,WRITING (Original Story),"William A. Wellman, Robert Carson",A Star Is Born
1938,WRITING (Adapted Screenplay),"Norman Reilly Raine, Heinz Herald, Geza Herczeg",The Life of Emile Zola
1938,SPECIAL AWARD, Mack Sennett,
1938,SPECIAL AWARD, Edgar Bergen for his outstanding comedy creation,
1938,SPECIAL AWARD, The Museum of Modern Art Film Library for its significant work in collecting films dating from 1895 to the present and for the first time making available to the public the means of studying the historical and aesthetic development of the motion picture as one of the major arts.,
1938,SPECIAL AWARD, W. Howard Greene for the color photography of A Star Is Born.  (This Award was recommended by a committee of leading cinematographers after viewing all the color pictures made during the year.),
1938,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,
1939,PRODUCTION DESIGN,Carl J. Weyl,The Adventures of Robin Hood
1939,CINEMATOGRAPHY,Joseph Ruttenberg,The Great Waltz
1939,DIRECTING,Frank Capra,You Can't Take It with You
1939,FILM EDITING,Ralph Dawson,The Adventures of Robin Hood
1939,MUSIC (Original Score),Erich Wolfgang Korngold,The Adventures of Robin Hood
1939,MUSIC (Scoring),Alfred Newman,Alexander's Ragtime Band
1939,MUSIC (Song),Music by Ralph Rainger; Lyrics by Leo Robin,The Big Broadcast of 1938
1939,BEST PICTURE,Columbia,You Can't Take It with You
1939,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Ferdinand the Bull
1939,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,That Mothers Might Live
1939,SHORT SUBJECT (Two-reel),Warner Bros.,Declaration of Independence
1939,SOUND RECORDING,"United Artists Studio Sound Department, Thomas T. Moulton, Sound Director",The Cowboy and the Lady
1939,WRITING (Original Story),"Dore Schary, Eleanore Griffin",Boys Town
1939,WRITING (Adapted Screenplay),"Screenplay and Dialogue by George Bernard Shaw; Adaptation by W. P. Lipscomb, Cecil Lewis, Ian Dalrymple",Pygmalion
1939,SPECIAL AWARD, Deanna Durbin and Mickey Rooney for their significant contribution in bringing to the screen the spirit and personification of youth,
1939,SPECIAL AWARD, Harry M. Warner in recognition of patriotic service in the production of historical short subjects presenting significant episodes in the early struggle of the American people for liberty.,
1939,SPECIAL AWARD, Walt Disney for Snow White and the Seven Dwarfs,
1939,SPECIAL AWARD, Oliver Marsh and Allen Davey for the color cinematography of the Metro-Goldwyn-Mayer production,
1939,SPECIAL AWARD,For outstanding achievement in creating Special Photographic and Sound Effects in the Paramount production,
1939,SPECIAL AWARD, J. Arthur Ball for his outstanding contributions to the advancement of color in Motion Picture Photography.,
1939,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,
1940,PRODUCTION DESIGN,Lyle Wheeler,Gone with the Wind
1940,CINEMATOGRAPHY,Gregg Toland,Wuthering Heights
1940,CINEMATOGRAPHY,"Ernest Haller, Ray Rennahan",Gone with the Wind
1940,DIRECTING,Victor Fleming,Gone with the Wind
1940,FILM EDITING,"Hal C. Kern, James E. Newcom",Gone with the Wind
1940,MUSIC (Original Score),Herbert Stothart,The Wizard of Oz
1940,MUSIC (Scoring),"Richard Hageman, Frank Harling, John Leipold, Leo Shuken",Stagecoach
1940,MUSIC (Song),Music by Harold Arlen; Lyrics by E. Y. Harburg,The Wizard of Oz
1940,BEST PICTURE,Selznick International Pictures,Gone with the Wind
1940,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",The Ugly Duckling
1940,SHORT SUBJECT (One-reel),Paramount,Busy Little Bears
1940,SHORT SUBJECT (Two-reel),Warner Bros.,Sons of Liberty
1940,SOUND RECORDING,"Universal Studio Sound Department, Bernard B. Brown, Sound Director",When Tomorrow Comes
1940,SPECIAL EFFECTS,"Fred Sersen, E. H. Hansen",The Rains Came
1940,WRITING (Original Story),Lewis R. Foster,Mr. Smith Goes to Washington
1940,WRITING (Adapted Screenplay),Sidney Howard,Gone with the Wind
1940,SPECIAL AWARD, Douglas Fairbanks (Commemorative Award) - recognizing the unique and outstanding contribution of Douglas Fairbanks,
1940,SPECIAL AWARD, The Motion Picture Relief Fund - acknowledging the outstanding services to the industry during the past year of the Motion Picture Relief Fund and its progressive leadership.  Presented to Jean Hersholt,
1940,SPECIAL AWARD, Judy Garland for her outstanding performance as a screen juvenile during the past year.,
1940,SPECIAL AWARD, William Cameron Menzies for outstanding achievement in the use of color for the enhancement of dramatic mood in the production of Gone with the Wind.,
1940,SPECIAL AWARD, the Technicolor Company for its contributions in successfully bringing three-color feature production to the screen.,
1940,IRVING G. THALBERG MEMORIAL AWARD,David O. Selznick,
1941,ART DIRECTION (Black-and-White),"Cedric Gibbons, Paul Groesse",Pride and Prejudice
1941,ART DIRECTION (Color),Vincent Korda,The Thief of Bagdad
1941,CINEMATOGRAPHY,George Barnes,Rebecca
1941,CINEMATOGRAPHY,Georges Périnal,The Thief of Bagdad
1941,DIRECTING,John Ford,The Grapes of Wrath
1941,FILM EDITING,Anne Bauchens,North West Mounted Police
1941,MUSIC (Original Score),"Leigh Harline, Paul J. Smith, Ned Washington",Pinocchio
1941,MUSIC (Scoring),Alfred Newman,Tin Pan Alley
1941,MUSIC (Song),Music by Leigh Harline; Lyrics by Ned Washington,Pinocchio
1941,BEST PICTURE,Selznick International Pictures,Rebecca
1941,SHORT SUBJECT (Cartoon),Metro-Goldwyn-Mayer,The Milky Way
1941,SHORT SUBJECT (One-reel),"Pete Smith, Producer",Quicker 'N a Wink
1941,SHORT SUBJECT (Two-reel),Warner Bros.,"Teddy, the Rough Rider"
1941,SOUND RECORDING,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director",Strike Up the Band
1941,SPECIAL EFFECTS,Photographic Effects by Lawrence Butler; Sound Effects by Jack Whitney,The Thief of Bagdad
1941,WRITING (Original Screenplay),Preston Sturges,The Great McGinty
1941,WRITING (Original Story),"Benjamin Glazer, John S. Toldy","Arise, My Love"
1941,WRITING (Adapted Screenplay),Donald Ogden Stewart,The Philadelphia Story
1941,SPECIAL AWARD, Bob Hope,
1941,SPECIAL AWARD, Colonel Nathan Levinson for his outstanding service to the industry and the Army during the past nine years,
1942,ART DIRECTION (Black-and-White),"Art Direction:  Richard Day, Nathan Juran;  Interior Decoration:  Thomas Little",How Green Was My Valley
1942,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Urie McCleary;  Interior Decoration:  Edwin B. Willis",Blossoms in the Dust
1942,CINEMATOGRAPHY,Arthur Miller,How Green Was My Valley
1942,CINEMATOGRAPHY,"Ernest Palmer, Ray Rennahan",Blood and Sand
1942,DIRECTING,John Ford,How Green Was My Valley
1942,DOCUMENTARY (Short Subject),National Film Board of Canada,Churchill's Island
1942,FILM EDITING,William Holmes,Sergeant York
1942,MUSIC (Music Score of a Dramatic Picture),Bernard Herrmann,All That Money Can Buy
1942,MUSIC (Scoring of a Musical Picture),"Frank Churchill, Oliver Wallace",Dumbo
1942,MUSIC (Song),Music by Jerome Kern; Lyrics by Oscar Hammerstein II,Lady Be Good
1942,BEST PICTURE,20th Century-Fox,How Green Was My Valley
1942,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Lend a Paw
1942,SHORT SUBJECT (One-reel),Metro-Goldwyn-Mayer,Of Pups and Puzzles
1942,SHORT SUBJECT (Two-reel),Metro-Goldwyn-Mayer,Main Street on the March!
1942,SOUND RECORDING,"General Service Sound Department, Jack Whitney, Sound Director",That Hamilton Woman
1942,SPECIAL EFFECTS,"Photographic Effects by Farciot Edouart, Gordon Jennings; Sound Effects by Louis Mesenkop",I Wanted Wings
1942,WRITING (Original Screenplay),"Herman J. Mankiewicz, Orson Welles",Citizen Kane
1942,WRITING (Original Story),Harry Segall,Here Comes Mr. Jordan
1942,WRITING (Adapted Screenplay),"Sidney Buchman, Seton I. Miller",Here Comes Mr. Jordan
1942,SPECIAL AWARD, Rey Scott for his extraordinary achievement in producing Kukan,
1942,SPECIAL AWARD, The British Ministry of Information for its vivid and dramatic presentation of the heroism of the RAF in the documentary film,
1942,SPECIAL AWARD, Leopold Stokowski and his associates for their unique achievement in the creation of a new form of visualized music in Walt Disney's production,
1942,SPECIAL AWARD, Walt Disney,
1942,IRVING G. THALBERG MEMORIAL AWARD,Walt Disney,
1943,ART DIRECTION (Black-and-White),"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",This above All
1943,ART DIRECTION (Color),"Art Direction:  Richard Day, Joseph Wright;  Interior Decoration:  Thomas Little",My Gal Sal
1943,CINEMATOGRAPHY,Joseph Ruttenberg,Mrs. Miniver
1943,CINEMATOGRAPHY,Leon Shamroy,The Black Swan
1943,DIRECTING,William Wyler,Mrs. Miniver
1943,DOCUMENTARY,United States Navy,The Battle of Midway
1943,DOCUMENTARY,Australian News & Information Bureau,Kokoda Front Line!
1943,DOCUMENTARY,Artkino,Moscow Strikes Back
1943,DOCUMENTARY,United States Army Special Services,Prelude to War
1943,FILM EDITING,Daniel Mandell,The Pride of the Yankees
1943,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,"Now, Voyager"
1943,MUSIC (Scoring of a Musical Picture),"Ray Heindorf, Heinz Roemheld",Yankee Doodle Dandy
1943,MUSIC (Song),Music and Lyrics by Irving Berlin,Holiday Inn
1943,BEST PICTURE,Metro-Goldwyn-Mayer,Mrs. Miniver
1943,SHORT SUBJECT (Cartoon),"Walt Disney, Producer",Der Fuehrer's Face
1943,SHORT SUBJECT (One-reel),Paramount,Speaking of Animals and Their Families
1943,SHORT SUBJECT (Two-reel),Warner Bros.,Beyond the Line of Duty
1943,SOUND RECORDING,"Warner Bros. Studio Sound Department, Nathan Levinson, Sound Director",Yankee Doodle Dandy
1943,SPECIAL EFFECTS,"Photographic Effects by Gordon Jennings, Farciot Edouart, William L. Pereira; Sound Effects by Louis Mesenkop",Reap the Wild Wind
1943,WRITING (Original Motion Picture Story),Emeric Pressburger,The Invaders
1943,WRITING (Original Screenplay),"Ring Lardner, Jr., Michael Kanin",Woman of the Year
1943,WRITING (Adapted Screenplay),"Arthur Wimperis, George Froeschel, James Hilton, Claudine West",Mrs. Miniver
1943,SPECIAL AWARD, Charles Boyer for his progressive cultural achievement in establishing the French Research Foundation in Los Angeles as a source of reference for the Hollywood Motion Picture Industry.,
1943,SPECIAL AWARD, Noel Coward for his outstanding production achievement in In Which We Serve.,
1943,SPECIAL AWARD," Metro-Goldwyn-Mayer for its achievement in representing the American Way of Life in the production of the ""Andy Hardy"" series of films.",
1943,IRVING G. THALBERG MEMORIAL AWARD,Sidney Franklin,
1944,ART DIRECTION (Black-and-White),"Art Direction:  James Basevi, William Darling;  Interior Decoration:  Thomas Little",The Song of Bernadette
1944,ART DIRECTION (Color),"Art Direction:  John B. Goodman, Alexander Golitzen;  Interior Decoration:  Russell A. Gausman, Ira S. Webb",Phantom of the Opera
1944,CINEMATOGRAPHY,Arthur Miller,The Song of Bernadette
1944,CINEMATOGRAPHY,"Hal Mohr, W. Howard Greene",Phantom of the Opera
1944,DIRECTING,Michael Curtiz,Casablanca
1944,DOCUMENTARY (Feature),British Ministry of Information,Desert Victory
1944,DOCUMENTARY (Short Subject),United States Navy,December 7th
1944,FILM EDITING,George Amy,Air Force
1944,MUSIC (Music Score of a Dramatic or Comedy Picture),Alfred Newman,The Song of Bernadette
1944,MUSIC (Scoring of a Musical Picture),Ray Heindorf,This Is the Army
1944,MUSIC (Song),Music by Harry Warren; Lyrics by Mack Gordon,"Hello, Frisco, Hello"
1944,BEST PICTURE,Warner Bros.,Casablanca
1944,SHORT SUBJECT (Cartoon),"Frederick Quimby, Producer",Yankee Doodle Mouse
1944,SHORT SUBJECT (One-reel),"Grantland Rice, Producer",Amphibious Fighters
1944,SHORT SUBJECT (Two-reel),"Jerry Bresler and Sam Coslow, Producers",Heavenly Music
1944,SOUND RECORDING,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",This Land Is Mine
1944,SPECIAL EFFECTS,Photographic Effects by Fred Sersen; Sound Effects by Roger Heman,Crash Dive
1944,WRITING (Original Motion Picture Story),William Saroyan,The Human Comedy
1944,WRITING (Original Screenplay),Norman Krasna,Princess O'Rourke
1944,WRITING (Adapted Screenplay),"Julius J. Epstein, Philip G. Epstein, Howard Koch",Casablanca
1944,SPECIAL AWARD, George Pal for the development of novel methods and techniques in the production of short subjects known as Puppetoons.,
1944,IRVING G. THALBERG MEMORIAL AWARD,Hal B. Wallis,
1945,ART DIRECTION (Black-and-White),"Art Direction:  Cedric Gibbons, William Ferrari;  Interior Decoration:  Edwin B. Willis, Paul Huldschinsky",Gaslight
1945,ART DIRECTION (Color),Art Direction:  Wiard Ihnen;  Interior Decoration:  Thomas Little,Wilson
1945,CINEMATOGRAPHY,Joseph LaShelle,Laura
1945,CINEMATOGRAPHY,Leon Shamroy,Wilson
1945,DIRECTING,Leo McCarey,Going My Way
1945,DOCUMENTARY (Feature),United States Navy,The Fighting Lady
1945,DOCUMENTARY (Short Subject),United States Marine Corps,With the Marines at Tarawa
1945,FILM EDITING,Barbara McLean,Wilson
1945,MUSIC (Music Score of a Dramatic or Comedy Picture),Max Steiner,Since You Went Away
1945,MUSIC (Scoring of a Musical Picture),"Morris Stoloff, Carmen Dragon",Cover Girl
1945,MUSIC (Song),Music by James Van Heusen; Lyrics by Johnny Burke,Going My Way
1945,BEST PICTURE,Paramount,Going My Way
1945,SHORT SUBJECT (Cartoon),"Frederick C. Quimby, Producer",Mouse Trouble
1945,SHORT SUBJECT (One-reel),"Jerry Fairbanks, Producer",Who's Who in Animal Land
1945,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",I Won't Play
1945,SOUND RECORDING,"20th Century-Fox Studio Sound Department, E. H. Hansen, Sound Director",Wilson
1945,SPECIAL EFFECTS,"Photographic Effects by A. Arnold Gillespie, Donald Jahraus, Warren Newcombe; Sound Effects by Douglas Shearer",Thirty Seconds over Tokyo
1945,WRITING (Original Motion Picture Story),Leo McCarey,Going My Way
1945,WRITING (Original Screenplay),Lamar Trotti,Wilson
1945,WRITING (Adapted Screenplay),"Frank Butler, Frank Cavett",Going My Way
1945,SPECIAL AWARD, Margaret O'Brien,
1945,SPECIAL AWARD, Bob Hope for his many services to the Academy.,
1945,IRVING G. THALBERG MEMORIAL AWARD,Darryl F. Zanuck,
1946,ART DIRECTION (Black-and-White),Art Direction:  Wiard Ihnen;  Interior Decoration:  A. Roland Fields,Blood on the Sun
1946,ART DIRECTION (Color),"Art Direction:  Hans Dreier, Ernst Fegte;  Interior Decoration:  Sam Comer",Frenchman's Creek
1946,CINEMATOGRAPHY,Harry Stradling,The Picture of Dorian Gray
1946,CINEMATOGRAPHY,Leon Shamroy,Leave Her to Heaven
1946,DIRECTING,Billy Wilder,The Lost Weekend
1946,DOCUMENTARY (Feature),The Governments of Great Britain and the United States of America,The True Glory
1946,DOCUMENTARY (Short Subject),"Gordon Hollingshead, Producer",Hitler Lives?
1946,FILM EDITING,Robert J. Kern,National Velvet
1946,MUSIC (Music Score of a Dramatic or Comedy Picture),Miklos Rozsa,Spellbound
1946,MUSIC (Scoring of a Musical Picture),Georgie Stoll,Anchors Aweigh
1946,MUSIC (Song),Music by Richard Rodgers; Lyrics by Oscar Hammerstein II,State Fair
1946,BEST PICTURE,Paramount,The Lost Weekend
1946,SHORT SUBJECT (Cartoon),"Frederick Quimby, Producer",Quiet Please!
1946,SHORT SUBJECT (One-reel),"Herbert Moulton, Producer;  Jerry Bresler, Executive Producer",Stairway to Light
1946,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",Star in the Night
1946,SOUND RECORDING,"RKO Radio Studio Sound Department, Stephen Dunn, Sound Director",The Bells of St. Mary's
1946,SPECIAL EFFECTS,Photographic Effects by John Fulton; Sound Effects by Arthur W. Johns,Wonder Man
1946,WRITING (Original Motion Picture Story),Charles G. Booth,The House on 92nd Street
1946,WRITING (Original Screenplay),Richard Schweizer,Marie-Louise
1946,WRITING (Adapted Screenplay),"Charles Brackett, Billy Wilder",The Lost Weekend
1946,SPECIAL AWARD, Walter Wanger for his six years service as President of the Academy of Motion Picture Arts and Sciences.,
1946,SPECIAL AWARD, Peggy Ann Garner,
1946,SPECIAL AWARD, The House I Live In,
1946,SPECIAL AWARD, Republic Studio,
1947,ART DIRECTION (Black-and-White),"Art Direction:  Lyle Wheeler, William Darling;  Interior Decoration:  Thomas Little, Frank E. Hughes",Anna and the King of Siam
1947,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Interior Decoration:  Edwin B. Willis",The Yearling
1947,CINEMATOGRAPHY,Arthur Miller,Anna and the King of Siam
1947,CINEMATOGRAPHY,"Charles Rosher, Leonard Smith, Arthur Arling",The Yearling
1947,DIRECTING,William Wyler,The Best Years of Our Lives
1947,DOCUMENTARY (Short Subject),United States Department of War,Seeds of Destiny
1947,FILM EDITING,Daniel Mandell,The Best Years of Our Lives
1947,MUSIC (Music Score of a Dramatic or Comedy Picture),Hugo Friedhofer,The Best Years of Our Lives
1947,MUSIC (Scoring of a Musical Picture),Morris Stoloff,The Jolson Story
1947,MUSIC (Song),Music by Harry Warren; Lyrics by Johnny Mercer,The Harvey Girls
1947,BEST PICTURE,Samuel Goldwyn Productions,The Best Years of Our Lives
1947,SHORT SUBJECT (Cartoon),"Frederick Quimby, Producer",The Cat Concerto
1947,SHORT SUBJECT (One-reel),"Gordon Hollingshead, Producer",Facing Your Danger
1947,SHORT SUBJECT (Two-reel),"Gordon Hollingshead, Producer",A Boy and His Dog
1947,SOUND RECORDING,"Columbia Studio Sound Department, John Livadary, Sound Director",The Jolson Story
1947,SPECIAL EFFECTS,Special Visual Effects by Thomas Howard,Blithe Spirit
1947,WRITING (Original Motion Picture Story),Clemence Dane,Vacation from Marriage
1947,WRITING (Original Screenplay),"Muriel Box, Sydney Box",The Seventh Veil
1947,WRITING (Adapted Screenplay),Robert E. Sherwood,The Best Years of Our Lives
1947,SPECIAL AWARD, Laurence Olivier for his outstanding achievement as actor,
1947,SPECIAL AWARD, Harold Russell for bringing hope and courage to his fellow veterans through his appearance in The Best Years of Our Lives.,
1947,SPECIAL AWARD, Ernst Lubitsch for his distinguished contributions to the art of the motion picture.,
1947,SPECIAL AWARD, Claude Jarman,
1947,IRVING G. THALBERG MEMORIAL AWARD,Samuel Goldwyn,
1948,ART DIRECTION (Black-and-White),Art Direction:  John Bryan;  Set Decoration:  Wilfred Shingleton,Great Expectations
1948,ART DIRECTION (Color),Art Direction:  Alfred Junge;  Set Decoration:  Alfred Junge,Black Narcissus
1948,CINEMATOGRAPHY,Guy Green,Great Expectations
1948,CINEMATOGRAPHY,Jack Cardiff,Black Narcissus
1948,DIRECTING,Elia Kazan,Gentleman's Agreement
1948,DOCUMENTARY (Feature),"Sid Rogell, Executive Producer;  Theron Warth and Richard O. Fleischer, Producers",Design for Death
1948,DOCUMENTARY (Short Subject),United Nations Division of Films and Visual Information,First Steps
1948,FILM EDITING,"Francis Lyon, Robert Parrish",Body and Soul
1948,MUSIC (Music Score of a Dramatic or Comedy Picture),Dr. Miklos Rozsa,A Double Life
1948,MUSIC (Scoring of a Musical Picture),Alfred Newman,Mother Wore Tights
1948,MUSIC (Song),Music by Allie Wrubel; Lyrics by Ray Gilbert,Song of the South
1948,BEST PICTURE,20th Century-Fox,Gentleman's Agreement
1948,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",Tweetie Pie
1948,SHORT SUBJECT (One-reel),"Herbert Moulton, Producer",Good-bye Miss Turlock
1948,SHORT SUBJECT (Two-reel),"Irving Allen, Producer",Climbing the Matterhorn
1948,SOUND RECORDING,"Samuel Goldwyn Studio Sound Department, Gordon Sawyer, Sound Director",The Bishop's Wife
1948,SPECIAL EFFECTS,"Special Visual Effects by A. Arnold Gillespie, Warren Newcombe; Special Audible Effects by Douglas Shearer, Michael Steinore",Green Dolphin Street
1948,WRITING (Motion Picture Story),Valentine Davies,Miracle on 34th Street
1948,WRITING (Original Screenplay),Sidney Sheldon,The Bachelor and the Bobby-Soxer
1948,WRITING (Adapted Screenplay),George Seaton,Miracle on 34th Street
1948,SPECIAL AWARD, James Baskett for his able and heart-warming characterization of Uncle Remus,
1948,SPECIAL AWARD, Bill and Coo,
1948,SPECIAL AWARD, Shoe-Shine - the high quality of this motion picture,
1948,SPECIAL AWARD, Colonel William N. Selig,
1949,ART DIRECTION (Black-and-White),Art Direction:  Roger K. Furse;  Set Decoration:  Carmen Dillon,Hamlet
1949,ART DIRECTION (Color),Art Direction:  Hein Heckroth;  Set Decoration:  Arthur Lawson,The Red Shoes
1949,CINEMATOGRAPHY,William Daniels,The Naked City
1949,CINEMATOGRAPHY,"Joseph Valentine, William V. Skall, Winton Hoch",Joan of Arc
1949,COSTUME DESIGN (Black-and-White),Roger K. Furse,Hamlet
1949,COSTUME DESIGN (Color),"Dorothy Jeakins, Karinska",Joan of Arc
1949,DIRECTING,John Huston,The Treasure of the Sierra Madre
1949,DOCUMENTARY (Feature),"Orville O. Dull, Producer",The Secret Land
1949,DOCUMENTARY (Short Subject),United States Army,Toward Independence
1949,FILM EDITING,Paul Weatherwax,The Naked City
1949,MUSIC (Music Score of a Dramatic or Comedy Picture),Brian Easdale,The Red Shoes
1949,MUSIC (Scoring of a Musical Picture),"Johnny Green, Roger Edens",Easter Parade
1949,MUSIC (Song),Music and Lyrics by Jay Livingston and Ray Evans,The Paleface
1949,BEST PICTURE,J. Arthur Rank-Two Cities Films,Hamlet
1949,SHORT SUBJECT (Cartoon),"Fred Quimby, Producer",The Little Orphan
1949,SHORT SUBJECT (One-reel),"Edmund H. Reek, Producer",Symphony of a City
1949,SHORT SUBJECT (Two-reel),"Walt Disney, Producer",Seal Island
1949,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",The Snake Pit
1949,SPECIAL EFFECTS,"Special Visual Effects by Paul Eagler, J. McMillan Johnson, Russell Shearman, Clarence Slifer; Special Audible Effects by Charles Freeman, James G. Stewart",Portrait of Jennie
1949,WRITING (Motion Picture Story),"Richard Schweizer, David Wechsler",The Search
1949,WRITING (Adapted Screenplay),John Huston,The Treasure of the Sierra Madre
1949,SPECIAL FOREIGN LANGUAGE FILM AWARD, Monsieur Vincent - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1948.,
1949,SPECIAL AWARD, Ivan Jandl,
1949,SPECIAL AWARD, Sid Grauman,
1949,SPECIAL AWARD, Adolph Zukor,
1949,SPECIAL AWARD, Walter Wanger for distinguished service to the industry in adding to its moral stature in the world community by his production of the picture Joan of Arc.,
1949,SPECIAL AWARD, Jean Hersholt - in recognition of his service to the Academy during four terms as president.,
1949,IRVING G. THALBERG MEMORIAL AWARD,Jerry Wald,
1950,ART DIRECTION (Black-and-White),"Art Direction:  Harry Horner, John Meehan;  Set Decoration:  Emile Kuri",The Heiress
1950,ART DIRECTION (Color),"Art Direction:  Cedric Gibbons, Paul Groesse;  Set Decoration:  Edwin B. Willis, Jack D. Moore",Little Women
1950,CINEMATOGRAPHY,Paul C. Vogel,Battleground
1950,CINEMATOGRAPHY,Winton Hoch,She Wore a Yellow Ribbon
1950,COSTUME DESIGN (Black-and-White),"Edith Head, Gile Steele",The Heiress
1950,COSTUME DESIGN (Color),"Leah Rhodes, Travilla, Marjorie Best",The Adventures of Don Juan
1950,DIRECTING,Joseph L. Mankiewicz,A Letter to Three Wives
1950,DOCUMENTARY (Feature),Crown Film Unit,Daybreak in Udi
1950,DOCUMENTARY (Short Subject),"Richard de Rochemont, Producer",A Chance to Live
1950,DOCUMENTARY (Short Subject),"Edward Selzer, Producer",So Much for So Little
1950,FILM EDITING,Harry Gerstad,Champion
1950,MUSIC (Music Score of a Dramatic or Comedy Picture),Aaron Copland,The Heiress
1950,MUSIC (Scoring of a Musical Picture),"Roger Edens, Lennie Hayton",On the Town
1950,MUSIC (Song),Music and Lyrics by Frank Loesser,Neptune's Daughter
1950,BEST PICTURE,Robert Rossen Productions,All the King's Men
1950,SHORT SUBJECT (Cartoon),"Edward Selzer, Producer",For Scent-Imental Reasons
1950,SHORT SUBJECT (One-reel),"Jack Eaton, Producer",Aquatic House-Party
1950,SHORT SUBJECT (Two-reel),"Gaston Diehl and Robert Haessens, Producers",Van Gogh
1950,SOUND RECORDING,"20th Century-Fox Studio Sound Department, Thomas T. Moulton, Sound Director",Twelve O'Clock High
1950,SPECIAL EFFECTS,ARKO Productions,Mighty Joe Young
1950,WRITING (Motion Picture Story),Douglas Morrow,The Stratton Story
1950,WRITING (Adapted Screenplay),Joseph L. Mankiewicz,A Letter to Three Wives
1950,WRITING (Story and Screenplay),Robert Pirosh,Battleground
1950,SPECIAL FOREIGN LANGUAGE FILM AWARD, The Bicycle Thief - voted by the Academy Board of Governors as the most outstanding foreign language film released in the United States during 1949.,
1950,SPECIAL AWARD, Bobby Driscoll,
1950,SPECIAL AWARD, Fred Astaire for his unique artistry and his contributions to the technique of musical pictures.,
1950,SPECIAL AWARD, Cecil B. DeMille,
1950,SPECIAL AWARD, Jean Hersholt,
